model,variant_label,base_model,family,profile,data_regime,dataset,seed,test_acc,test_auc,best_val_auc,best_epoch,attn_params,total_params,time_s
B|generic|full|standard,"B: OrthoTransformer [generic, full]",B,generic,full,standard,retinamnist,7,0.5425,0.7376,0.8343,47,1920,9205,4404.0
C|generic|full|standard,"C: DirectAttn [generic, full]",C,generic,full,standard,retinamnist,123,0.515,0.7497,0.8442,47,1920,9205,4433.9
C|generic|full|standard,"C: DirectAttn [generic, full]",C,generic,full,standard,retinamnist,42,0.5375,0.7514,0.8512,48,1920,9205,4461.6
C|generic|full|standard,"C: DirectAttn [generic, full]",C,generic,full,standard,retinamnist,7,0.5375,0.7456,0.8416,51,1920,9205,4415.1
D|generic|full|standard,"D: Compound [generic, full]",D,generic,full,standard,retinamnist,42,0.5325,0.7566,0.8321,41,4224,11509,12566.9
D_full|generic|full|standard,"D: Compound (full sector) [generic, full]",D_full,generic,full,standard,retinamnist,42,0.435,0.6506,0.7105,1,5248,12533,45.1
E|generic|full|standard,"E: Multi-sector [generic, full]",E,generic,full,standard,retinamnist,42,0.4325,0.6356,0.6461,1,4224,11509,84.5
F|generic|full|standard,"F: Hierarchical (3ph) [generic, full]",F,generic,full,standard,retinamnist,42,0.435,0.6414,0.6696,1,2208,9461,24.1
A|generic|lite|standard,"A: OrthoPatch [generic, lite]",A,generic,lite,standard,retinamnist,42,0.51,0.7364,0.8311,38,56,1725,159.7
B|generic|lite|standard,"B: OrthoTransformer [generic, lite]",B,generic,lite,standard,retinamnist,42,0.5275,0.7338,0.8371,19,112,1797,255.7
C|generic|lite|standard,"C: DirectAttn [generic, lite]",C,generic,lite,standard,retinamnist,42,0.525,0.7433,0.8308,69,112,1797,280.4
D|generic|lite|standard,"D: Compound [generic, lite]",D,generic,lite,standard,retinamnist,42,0.545,0.7411,0.8199,31,552,2221,11627.3
D_full|generic|lite|standard,"D: Compound (full sector) [generic, lite]",D_full,generic,lite,standard,retinamnist,42,0.535,0.7419,0.8304,64,616,2285,978.4
E|generic|lite|standard,"E: Multi-sector [generic, lite]",E,generic,lite,standard,retinamnist,42,0.51,0.7329,0.8325,17,552,2221,1934.6
F|generic|lite|standard,"F: Hierarchical (3ph) [generic, lite]",F,generic,lite,standard,retinamnist,42,0.5325,0.7442,0.8296,49,240,1909,480.4
A|butterfly|full|standard,"A: OrthoPatch [butterfly, full]",A,butterfly,full,standard,retinamnist,123,0.5325,0.7443,0.8272,42,256,7509,17302.8
A|butterfly|full|standard,"A: OrthoPatch [butterfly, full]",A,butterfly,full,standard,retinamnist,42,0.5175,0.7416,0.8514,40,256,7509,223.2
A|butterfly|full|standard,"A: OrthoPatch [butterfly, full]",A,butterfly,full,standard,retinamnist,7,0.5475,0.7578,0.8395,29,256,7509,276.3
B|butterfly|full|standard,"B: OrthoTransformer [butterfly, full]",B,butterfly,full,standard,retinamnist,123,0.505,0.7382,0.8163,27,512,7797,536.6
B|butterfly|full|standard,"B: OrthoTransformer [butterfly, full]",B,butterfly,full,standard,retinamnist,42,0.5075,0.7299,0.8249,26,512,7797,417.6
B|butterfly|full|standard,"B: OrthoTransformer [butterfly, full]",B,butterfly,full,standard,retinamnist,7,0.52,0.7426,0.8351,23,512,7797,523.6
D|butterfly|full|standard,"D: Compound [butterfly, full]",D,butterfly,full,standard,retinamnist,123,0.5175,0.7404,0.8357,39,640,7893,739.1
D|butterfly|full|standard,"D: Compound [butterfly, full]",D,butterfly,full,standard,retinamnist,42,0.5325,0.7305,0.8412,47,640,7893,664.8
D|butterfly|full|standard,"D: Compound [butterfly, full]",D,butterfly,full,standard,retinamnist,7,0.535,0.7517,0.8405,45,640,7893,719.3
D_full|butterfly|full|standard,"D: Compound (full sector) [butterfly, full]",D_full,butterfly,full,standard,retinamnist,42,0.5225,0.7313,0.8324,31,1664,8917,765.2
A|butterfly|lite|standard,"A: OrthoPatch [butterfly, lite]",A,butterfly,lite,standard,retinamnist,123,0.545,0.7309,0.8182,16,24,1693,106.4
A|butterfly|lite|standard,"A: OrthoPatch [butterfly, lite]",A,butterfly,lite,standard,retinamnist,42,0.525,0.7422,0.8397,48,24,1693,134.0
A|butterfly|lite|standard,"A: OrthoPatch [butterfly, lite]",A,butterfly,lite,standard,retinamnist,7,0.5325,0.7428,0.832,76,24,1693,104.7
B|butterfly|lite|standard,"B: OrthoTransformer [butterfly, lite]",B,butterfly,lite,standard,retinamnist,123,0.52,0.733,0.8245,32,48,1733,170.0
B|butterfly|lite|standard,"B: OrthoTransformer [butterfly, lite]",B,butterfly,lite,standard,retinamnist,42,0.55,0.7455,0.8415,38,48,1733,288.9
B|butterfly|lite|standard,"B: OrthoTransformer [butterfly, lite]",B,butterfly,lite,standard,retinamnist,7,0.505,0.7392,0.8346,18,48,1733,213.4
D|butterfly|lite|standard,"D: Compound [butterfly, lite]",D,butterfly,lite,standard,retinamnist,123,0.5425,0.7295,0.8231,69,160,4005,638.3
D|butterfly|lite|standard,"D: Compound [butterfly, lite]",D,butterfly,lite,standard,retinamnist,42,0.515,0.7417,0.8377,12,160,4005,529.1
D|butterfly|lite|standard,"D: Compound [butterfly, lite]",D,butterfly,lite,standard,retinamnist,7,0.5175,0.7431,0.8339,50,160,4005,636.4
D_full|butterfly|lite|standard,"D: Compound (full sector) [butterfly, lite]",D_full,butterfly,lite,standard,retinamnist,123,0.5275,0.7415,0.8194,65,416,4261,6134.9
D_full|butterfly|lite|standard,"D: Compound (full sector) [butterfly, lite]",D_full,butterfly,lite,standard,retinamnist,42,0.545,0.7443,0.8318,26,416,4261,671.5
D_full|butterfly|lite|standard,"D: Compound (full sector) [butterfly, lite]",D_full,butterfly,lite,standard,retinamnist,7,0.545,0.7367,0.825,4,416,4261,657.6
A|butterfly|lite|train_subset_5000,"A: OrthoPatch [butterfly, lite, train_subset_5000]",A,butterfly,lite,train_subset_5000,retinamnist,123,0.545,0.7309,0.8182,16,24,1693,130.9
A|butterfly|lite|train_subset_5000,"A: OrthoPatch [butterfly, lite, train_subset_5000]",A,butterfly,lite,train_subset_5000,retinamnist,42,0.525,0.7423,0.8396,48,24,1693,132.6
A|butterfly|lite|train_subset_5000,"A: OrthoPatch [butterfly, lite, train_subset_5000]",A,butterfly,lite,train_subset_5000,retinamnist,7,0.5325,0.7428,0.832,76,24,1693,133.4
B|butterfly|lite|train_subset_5000,"B: OrthoTransformer [butterfly, lite, train_subset_5000]",B,butterfly,lite,train_subset_5000,retinamnist,123,0.52,0.733,0.8245,32,48,1733,193.8
B|butterfly|lite|train_subset_5000,"B: OrthoTransformer [butterfly, lite, train_subset_5000]",B,butterfly,lite,train_subset_5000,retinamnist,42,0.565,0.7448,0.8416,38,48,1733,192.9
B|butterfly|lite|train_subset_5000,"B: OrthoTransformer [butterfly, lite, train_subset_5000]",B,butterfly,lite,train_subset_5000,retinamnist,7,0.505,0.7392,0.8346,18,48,1733,193.6
D|butterfly|lite|train_subset_5000,"D: Compound [butterfly, lite, train_subset_5000]",D,butterfly,lite,train_subset_5000,retinamnist,123,0.5425,0.7295,0.8231,69,160,4005,563.0
D|butterfly|lite|train_subset_5000,"D: Compound [butterfly, lite, train_subset_5000]",D,butterfly,lite,train_subset_5000,retinamnist,42,0.515,0.7417,0.8377,12,160,4005,559.7
D|butterfly|lite|train_subset_5000,"D: Compound [butterfly, lite, train_subset_5000]",D,butterfly,lite,train_subset_5000,retinamnist,7,0.5175,0.7431,0.8339,50,160,4005,569.9
D_full|butterfly|lite|train_subset_5000,"D: Compound (full sector) [butterfly, lite, train_subset_5000]",D_full,butterfly,lite,train_subset_5000,retinamnist,123,0.5275,0.7415,0.8194,65,416,4261,634.3
D_full|butterfly|lite|train_subset_5000,"D: Compound (full sector) [butterfly, lite, train_subset_5000]",D_full,butterfly,lite,train_subset_5000,retinamnist,42,0.545,0.7443,0.8318,26,416,4261,629.5
D_full|butterfly|lite|train_subset_5000,"D: Compound (full sector) [butterfly, lite, train_subset_5000]",D_full,butterfly,lite,train_subset_5000,retinamnist,7,0.545,0.7367,0.825,4,416,4261,652.6
A|butterfly|lite|train_subset_5000,"A: OrthoPatch [butterfly, lite, train_subset_5000]",A,butterfly,lite,train_subset_5000,tissuemnist,123,0.5081,0.814,0.8123,60,24,936,1802.8
A|butterfly|lite|train_subset_5000,"A: OrthoPatch [butterfly, lite, train_subset_5000]",A,butterfly,lite,train_subset_5000,tissuemnist,42,0.4966,0.809,0.8056,56,24,936,1791.1
A|butterfly|lite|train_subset_5000,"A: OrthoPatch [butterfly, lite, train_subset_5000]",A,butterfly,lite,train_subset_5000,tissuemnist,7,0.5005,0.8089,0.8081,56,24,936,1817.0
B|butterfly|lite|train_subset_5000,"B: OrthoTransformer [butterfly, lite, train_subset_5000]",B,butterfly,lite,train_subset_5000,tissuemnist,123,0.4768,0.7951,0.7942,74,48,976,2589.0
B|butterfly|lite|train_subset_5000,"B: OrthoTransformer [butterfly, lite, train_subset_5000]",B,butterfly,lite,train_subset_5000,tissuemnist,42,0.4962,0.8093,0.8088,56,48,976,2595.9
B|butterfly|lite|train_subset_5000,"B: OrthoTransformer [butterfly, lite, train_subset_5000]",B,butterfly,lite,train_subset_5000,tissuemnist,7,0.5022,0.8121,0.8096,54,48,976,2832.3
D|butterfly|lite|train_subset_5000,"D: Compound [butterfly, lite, train_subset_5000]",D,butterfly,lite,train_subset_5000,tissuemnist,123,0.5104,0.8157,0.8139,54,160,2488,42647.8
D|butterfly|lite|train_subset_5000,"D: Compound [butterfly, lite, train_subset_5000]",D,butterfly,lite,train_subset_5000,tissuemnist,42,0.5142,0.8177,0.8156,70,160,2488,8376.5
D_full|butterfly|lite|train_subset_5000,"D: Compound (full sector) [butterfly, lite, train_subset_5000]",D_full,butterfly,lite,train_subset_5000,tissuemnist,123,0.516,0.8211,0.8191,74,416,2744,68498.9
D_full|butterfly|lite|train_subset_5000,"D: Compound (full sector) [butterfly, lite, train_subset_5000]",D_full,butterfly,lite,train_subset_5000,tissuemnist,42,0.5114,0.8181,0.8156,56,416,2744,9516.9
D_full|butterfly|lite|train_subset_5000,"D: Compound (full sector) [butterfly, lite, train_subset_5000]",D_full,butterfly,lite,train_subset_5000,tissuemnist,7,0.516,0.8234,0.8203,54,416,2744,11406.0
