date,log_return
1992-06-26,0.0008183223
1992-06-29,0.0135158574
1992-06-30,-0.0019581633
1992-07-01,0.0115467170
1992-07-02,-0.0026920913
1992-07-06,0.0050145025
1992-07-07,-0.0113731303
1992-07-08,0.0027335639
1992-07-09,0.0095815512
1992-07-10,0.0009410247
1992-07-13,0.0006027800
1992-07-14,0.0067503652
1992-07-15,-0.0013895557
1992-07-16,0.0010543527
1992-07-17,-0.0046089990
1992-07-20,-0.0045094428
1992-07-21,0.0000241925
1992-07-22,-0.0068632533
1992-07-23,0.0027946068
1992-07-24,-0.0011654539
1992-07-27,-0.0001457773
1992-07-28,0.0144261795
1992-07-29,0.0112177943
1992-07-30,0.0039945746
1992-07-31,0.0006838056
1992-08-03,0.0020723071
1992-08-04,-0.0017187855
1992-08-05,-0.0051266616
1992-08-06,-0.0037969767
1992-08-07,-0.0040739843
1992-08-10,0.0012883421
1992-08-11,-0.0012406231
1992-08-12,-0.0026772381
1992-08-13,-0.0001196582
1992-08-14,0.0052050942
1992-08-17,0.0019746312
1992-08-18,0.0014250575
1992-08-19,-0.0075042195
1992-08-20,0.0001673915
1992-08-21,-0.0081862483
1992-08-24,-0.0100053037
1992-08-25,0.0021645434
1992-08-26,0.0046054581
1992-08-27,0.0000483387
1992-08-28,0.0031628346
1992-08-31,-0.0019544629
1992-09-01,0.0049151009
1992-09-02,0.0045800778
1992-09-03,0.0000000000
1992-09-04,-0.0021555930
1992-09-08,-0.0063498005
1992-09-09,0.0046220182
1992-09-10,0.0085854502
1992-09-11,-0.0008815067
1992-09-14,0.0134700566
1992-09-15,-0.0130173194
1992-09-16,0.0003573329
1992-09-17,0.0000237644
1992-09-18,0.0071186501
1992-09-21,-0.0018696161
1992-09-22,-0.0119151153
1992-09-23,0.0007188953
1992-09-24,0.0024643785
1992-09-25,-0.0098941637
1992-09-28,0.0054634816
1992-09-29,0.0004319375
1992-09-30,0.0023963588
1992-10-01,-0.0036206666
1992-10-02,-0.0140793057
1992-10-05,-0.0070901325
1992-10-06,-0.0009573849
1992-10-07,-0.0072218317
1992-10-08,0.0086207430
1992-10-09,-0.0125616990
1992-10-12,0.0118011461
1992-10-13,0.0045546651
1992-10-14,0.0001710270
1992-10-15,0.0005617080
1992-10-16,0.0051867328
1992-10-19,0.0078625314
1992-10-20,0.0012041520
1992-10-21,0.0004572037
1992-10-22,-0.0018541959
1992-10-23,-0.0019300073
1992-10-26,0.0097566379
1992-10-27,0.0007888283
1992-10-28,0.0039112274
1992-10-29,0.0017360032
1992-10-30,-0.0051933145
1992-11-02,0.0096741003
1992-11-03,-0.0067167389
1992-11-04,-0.0067143081
1992-11-05,0.0029445494
1992-11-06,-0.0018183797
1992-11-09,0.0024158013
1992-11-10,0.0000716637
1992-11-11,0.0085155888
1992-11-12,0.0015856273
1992-11-13,-0.0010410564
1992-11-16,-0.0041513030
1992-11-17,-0.0033573546
1992-11-18,0.0085024431
1992-11-19,0.0017956654
1992-11-20,0.0071508046
1992-11-23,-0.0035925202
1992-11-24,0.0057933134
1992-11-25,0.0037349330
1992-11-27,0.0022575240
1992-11-30,0.0027625987
1992-12-01,-0.0013223236
1992-12-02,-0.0020681200
1992-12-03,0.0000464969
1992-12-04,0.0049885689
1992-12-07,0.0074939535
1992-12-08,0.0038518738
1992-12-09,-0.0030711345
1992-12-10,-0.0023210187
1992-12-11,-0.0020958899
1992-12-14,-0.0020541098
1992-12-15,-0.0006239563
1992-12-16,-0.0024303460
1992-12-17,0.0090201978
1992-12-18,0.0133455601
1992-12-21,-0.0013151923
1992-12-22,-0.0008853808
1992-12-23,-0.0029112737
1992-12-24,0.0016840929
1992-12-28,-0.0014108115
1992-12-29,-0.0026677541
1992-12-30,0.0019160506
1992-12-31,-0.0071124581
1993-01-04,-0.0007576406
1993-01-05,-0.0023915951
1993-01-06,0.0004143192
1993-01-07,-0.0087604791
1993-01-08,-0.0039080354
1993-01-11,0.0044186686
1993-01-12,0.0002088106
1993-01-13,0.0046060938
1993-01-14,0.0066976180
1993-01-15,0.0027717469
1993-01-18,-0.0007093847
1993-01-19,-0.0039221387
1993-01-20,-0.0040529929
1993-01-21,0.0048799562
1993-01-22,0.0014226600
1993-01-25,0.0089030046
1993-01-26,-0.0001363643
1993-01-27,-0.0041911249
1993-01-28,0.0012546469
1993-01-29,0.0002735118
1993-02-01,0.0084874906
1993-02-02,0.0000677885
1993-02-03,0.0104525243
1993-02-04,0.0052633721
1993-02-05,-0.0014023640
1993-02-08,-0.0024085887
1993-02-09,-0.0056428183
1993-02-10,0.0020189886
1993-02-11,0.0031994851
