n_photons,n_modes,seed,fold_index,train_acc,val_acc,test_acc,qorc_output_size,n_train_epochs,duration_qfeatures,duration_train,best_val_epoch
3,24,53,0,0.997416,0.976833,0.974099,2600,100,0.7999999999999999,77.8,74
3,24,59,0,0.997895,0.976583,0.976599,2600,100,0.8099999999999999,77.74,81
3,24,67,0,0.996687,0.976999,0.9738,2600,100,0.95,78.02,61
3,30,42,0,0.999104,0.976333,0.977099,4960,100,1.27,85.18,50
3,30,47,0,0.999374,0.974916,0.975499,4960,100,0.9,85.05,56
3,30,53,0,0.999333,0.976916,0.977899,4960,100,0.89,84.88,63
3,30,59,0,0.999,0.977083,0.976799,4960,100,0.89,84.65,51
3,30,67,0,0.998729,0.979749,0.976699,4960,100,0.89,84.78,48
3,32,42,0,0.99927,0.975666,0.975799,5984,100,1.3199999999999998,87.36,62
4,10,42,0,0.978583,0.962,0.958199,715,100,1.1300000000000001,73.12,59
4,10,47,0,0.976062,0.959083,0.959599,715,100,0.77,72.17,32
4,10,53,0,0.974145,0.960083,0.960199,715,100,0.77,72.14,22
4,10,59,0,0.974375,0.958333,0.959399,715,100,0.76,71.83,44
4,10,67,0,0.977541,0.9595,0.961299,715,100,0.76,71.96,50
4,12,42,0,0.986333,0.967416,0.966499,1365,100,0.76,74.68,49
4,12,47,0,0.985166,0.965083,0.966299,1365,100,0.75,74.84,38
4,12,53,0,0.986333,0.965583,0.965299,1365,100,0.75,74.9,52
4,12,59,0,0.986083,0.965416,0.966299,1365,100,0.75,74.97,44
4,12,67,0,0.984312,0.965333,0.966199,1365,100,0.75,74.84,36
4,14,42,0,0.989479,0.968916,0.9695,2380,100,0.7999999999999999,78.03,45
4,14,47,0,0.99152,0.968333,0.968199,2380,100,0.8099999999999999,78.19,59
4,14,53,0,0.991187,0.969916,0.967799,2380,100,0.7999999999999999,77.42,38
4,14,59,0,0.993083,0.968999,0.968699,2380,100,0.82,77.85,64
4,14,67,0,0.99052,0.97025,0.966899,2380,100,0.95,78.09,48
4,16,42,0,0.996333,0.972916,0.968599,3876,100,0.85,81.2,78
4,16,47,0,0.997541,0.971083,0.968999,3876,100,0.85,82.07,82
4,16,53,0,0.996749,0.972833,0.9702,3876,100,0.85,81.16,61
4,16,59,0,0.99577,0.970499,0.970699,3876,100,0.85,81.85,46
4,16,67,0,0.997166,0.974083,0.969299,3876,100,0.85,81.44,73
5,10,42,0,0.985125,0.964249,0.960099,2002,100,1.2100000000000002,77.46,59
5,10,47,0,0.985937,0.960833,0.958499,2002,100,0.83,76.86,47
5,10,53,0,0.984854,0.962916,0.960799,2002,100,0.85,76.95,52
5,10,59,0,0.984791,0.962833,0.960799,2002,100,0.83,77.08,46
5,10,67,0,0.982749,0.962833,0.960999,2002,100,0.83,77.3,32
5,12,42,0,0.993833,0.966583,0.9659,4368,100,1.05,83.49,68
5,12,47,0,0.994062,0.966583,0.963399,4368,100,0.9099999999999999,83.67,65
5,12,53,0,0.994187,0.967583,0.9659,4368,100,0.9099999999999999,83.25,63
5,12,59,0,0.994541,0.966583,0.966299,4368,100,1.0,83.63,59
5,12,67,0,0.995145,0.967916,0.9659,4368,100,0.8899999999999999,83.68,84
6,10,42,0,0.990833,0.96375,0.957299,5005,100,1.48,85.88,63
6,10,47,0,0.993375,0.962499,0.958199,5005,100,1.1600000000000001,85.29,55
6,10,53,0,0.992333,0.962333,0.957899,5005,100,1.19,84.99,76
6,10,59,0,0.992208,0.962666,0.958,5005,100,1.47,86.67,59
6,10,67,0,0.993979,0.961583,0.957499,5005,100,1.17,85.98,82
